Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source
AgBrO3,Ag,BrO3,235.77,0,0.193,0.008185943928404802,-2.0869312344852506,0.19337321029587104,CRC
AgBrO3,Ag,BrO3,235.77,90,1.32,0.05598676676421937,-1.2519146122871743,1.3376570733684636,CRC
AgClO2,Ag,ClO2,159.32,0,0.17,0.01067034898317851,-1.9718213763590164,0.17028949213663228,CRC
AgClO2,Ag,ClO2,159.32,10,0.31,0.019457695204619634,-1.7109086039030177,0.3109639883639282,CRC
AgClO2,Ag,ClO2,159.32,20,0.47,0.029500376600552346,-1.530172439801573,0.47221943132723804,CRC
AgClO2,Ag,ClO2,159.32,25,0.55,0.0345217172985187,-1.4619076082430467,0.5530417295123178,CRC
AgClO2,Ag,ClO2,159.32,30,0.64,0.04017072558373086,-1.3960903237534033,0.644122383252818,CRC
AgClO2,Ag,ClO2,159.32,40,0.82,0.05146874215415516,-1.2884564453535736,0.8267795926598104,CRC
AgClO2,Ag,ClO2,159.32,50,1.02,0.06402209389907106,-1.1936701259753728,1.0305112143867448,CRC
AgClO2,Ag,ClO2,159.32,60,1.22,0.07657544564398694,-1.1159104670625422,1.2350678274954443,CRC
AgClO2,Ag,ClO2,159.32,70,1.44,0.09038413256339442,-1.0439078056420408,1.461038961038961,CRC
AgClO2,Ag,ClO2,159.32,80,1.66,0.1041928194828019,-0.9821622096972353,1.6880211511083993,CRC
AgClO2,Ag,ClO2,159.32,90,1.88,0.11800150640220938,-0.9281124484736105,1.9160211985324092,CRC
AgClO2,Ag,ClO2,159.32,100,2.11,0.13243786090886267,-0.8779878424395977,2.1554806415364185,CRC
AgClO3,Ag,ClO3,175.32,0,15.0,0.8555783709787816,-0.06774020292624036,17.647058823529413,CRC
AgClO4,Ag,ClO4,191.32,0,81.6,4.265105582270541,0.6299297865539346,443.478260869565,CRC
AgClO4,Ag,ClO4,191.32,10,83.0,4.338281413338909,0.6373177201761474,488.2352941176471,CRC
AgClO4,Ag,ClO4,191.32,20,84.2,4.401003554254652,0.643551719299723,532.9113924050633,CRC
AgClO4,Ag,ClO4,191.32,25,84.8,4.432364624712523,0.6466354800567873,557.8947368421052,CRC
AgClO4,Ag,ClO4,191.32,30,85.3,4.458498850094084,0.6491886589675966,580.2721088435374,CRC
AgClO4,Ag,ClO4,191.32,40,86.3,4.510767300857203,0.6542504235152831,629.9270072992699,CRC
AgClO4,Ag,ClO4,191.32,50,86.9,4.542128371315075,0.65725940424874,663.3587786259545,CRC
AgClO4,Ag,ClO4,191.32,60,87.5,4.573489441772946,0.6602476808223867,700.0,CRC
AgClO4,Ag,ClO4,191.32,70,87.9,4.594396822078194,0.6622285028738454,726.4462809917359,CRC
AgClO4,Ag,ClO4,191.32,80,88.3,4.615304202383442,0.6642003313776421,754.7008547008545,CRC
AgClO4,Ag,ClO4,191.32,90,88.6,4.630984737612377,0.6656733496871242,777.1929824561399,CRC
AgClO4,Ag,ClO4,191.32,100,88.8,4.641438427765001,0.6666525935786745,792.8571428571427,CRC
AgNO2,Ag,NO2,153.87,0,0.155,0.010073438617014362,-1.9968222556151245,0.15524062296559668,CRC
AgNO2,Ag,NO2,153.87,20,0.413,0.026840839669851173,-1.571203902129015,0.41471276371413934,CRC
AgNO3,Ag,NO3,169.87,0,55.9,3.2907517513392595,0.517295121100204,126.75736961451247,CRC
AgNO3,Ag,NO3,169.87,10,62.3,3.66751044916701,0.5643713598729503,165.25198938992042,CRC
AgNO3,Ag,NO3,169.87,20,67.8,3.991287455112733,0.6011130070808441,210.5590062111801,CRC
AgNO3,Ag,NO3,169.87,25,70.1,4.126685112144581,0.6156013311804394,234.44816053511698,CRC
AgNO3,Ag,NO3,169.87,30,72.3,4.256195914522871,0.6290216105083116,261.0108303249097,CRC
