Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source,Substance Name,SMILES,Data Quality,SD,Measurements
(NH4)2SO4,NH4,SO4,132.14,0,41.3,3.1255,0.4949,70.3578,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,10,42.1,3.186,0.5032,72.7116,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,20,42.9,3.2466,0.5114,75.1313,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,25,43.3,3.2768,0.5155,76.3668,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,30,43.8,3.3147,0.5204,77.9359,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,40,44.7,3.3828,0.5293,80.8318,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,50,45.6,3.4509,0.5379,83.8235,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,60,46.6,3.5266,0.5474,87.2659,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,70,47.5,3.5947,0.5557,90.4762,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,80,48.5,3.6703,0.5647,94.1748,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,90,49.5,3.746,0.5736,98.0198,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
(NH4)2SO4,NH4,SO4,132.14,100,50.5,3.8217,0.5823,102.0202,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,0,0.56,0.018,-1.7457,0.5632,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,10,0.67,0.0215,-1.6678,0.6745,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,20,0.78,0.025,-1.6018,0.7861,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
Ag2SO4,Ag,SO,311.79,25,0.83,0.0266,-1.5748,0.8369,"CRC Handbook of Chemistry and Physics, 91st Edition",,,,,
